comment,label,label_class
Her thumbnail looks like vegan porn...,2,0
"HER HAIR IS GREAT THE LAYERS OH MA GAD Also, I'm really proud of her. I wish I could do the same, it's quite difficult for me.",1,0
How old is this video? Cause I know you been eatin some bacon girl lol,2,0
if she's going full vegan she knows she can't use any products that are tested on animals? or use anything that's leather?,1,0
"Some of my fave vegan foods! -yummy fruit! -veggies (tomatoes, peppers, mushrooms, spinach, etc.) -so many potatoes!!! -tortilla chips and dip (salsa, guac, hummus, etc.) -smoothies! And omg there is so much more! That is just what I eat when I don't have a ton of time. Watch vegan recipes there are so many tasty easy things! ILY TRISH❤️❤️😢",1,0
"PLEASE do not just eat a ridiculous amount go calories a day, even if it is from vegan food. Eat enough and don't starve yourself. You don't have to be scared of carbs, but don't eat 40 bananas like Freelee because that's insane. Do not believe any of that pseudoscience bullshit!!",1,0
"my fave vegan foods: fries, for protien BBQ tofu, chia seeds",1,0
"Check out hotforfood if you want some less ""healthy"" vegan recipes. Gardein ""chicken"" tenders are amazing, honestly I don't even notice that they're vegan, not the healthiest thing ever but y'know, gotta have those cheat meals sometimes. As for everyday things, I personally always keep rice, beans, and frozen veggies around for quick and easy meals. Make sure you aren't letting yourself getting super hungry, that's when you'll end up craving and binging on foods that aren't as good for you. Congrats, Trish! Hopefully this will be the start to some great changes for your health.",1,0
"Next to delicious fruits, you can eat: lots of vegetables (cucumber, salad, tomato, bell peppers, courgette, zuchini, spinach, carrots,...), peanut butter yum!, a lot of nuts: pine nuts, pumpkin seeds, wallnuts,..., lots of seeds: chia, flax, hemp,... Next to that you also have to eat lots of carbs like potatoes, rice, quinoa,... There are a lot of foods and variety that you can eat!! :-)",1,0
I gave up dairy and still have acne! My acne is mostly hormonal but I've known people's skin to clear up completely 😘,1,0
Lowkey waiting for freelee to make a vid😂😂😂,1,0
"hey girl! watch Nina and randa's channel, they're what i eat in a day might help you, as well as the fitness couple that righr now I'm obssed with! good luck with the vegan diet 😘😘💕",1,0
HOLY SHIT !! THIS IS REAL????,1,0
Freelee is probably making a video applauding you right now.,1,0
"I recommend raw cold pressed hemp seed oil, it has 20 amino acids and iron. I pour a tablespoon of it on my rice, mash potatoes and I mix it with vegan cream cheese toffuti. The tofurky chorizo style meatless vegan mince meat tastes fricken awesome too 😊",1,0
Earth Balance Mac and Cheese and Gardein Beetles patties.,1,0
"Trisha, to get protein you can eat lots of protein shakes and also have lots of beans , fish ( if you choose to eat fish) & broccoli .",1,0
"You cannot eat too much on a vegan diet!! Listen to your body, eat when you're hungry.",1,0
Something that made me go vegetarian was that you are literally eating a corpse! It just grosses me out. I wouldn't eat a human corpse so why an animal corpse.,1,0
You and discipline are like oil and water...You wont last a day I am sure.,2,0
do vegans hate asians? they eat meat therefore theyre evil,5,1
"Rice, bean, nuts, seeds, grains, pasta, veggies, fruit etc.... Smoothies for breakfast are so good & you can still have pizza just no cheese Trisha!! Eat till you're full!! You can still have a latté just ask for soya or coconut milk!! If you want to lose weight you can't eat too much!! You can put weight on eating a vegan diet trust me I did!! Any questions just message me! Love u girl!",1,0
Yes Trish!!! This is exactly what you need for a healthy body AND mind!! You really need to stick with it to get great results but in the end it is worth it 100%. Make sure you're eating until you're completely satisfied and full. So proud of you Trish! This is a great step in the right direction :),1,0
"TRISHAAAAAAAAAAAAAAAAAA! Your fucking influence could change so many lives. 1 - Eat the melon alone. For reasons I don't remember, it's better to eat melon by itself. 2 - Vegan restaurants in LA are CaaaaaaRRRazzzy as I am sure you know. Don't restrict yourself. 3 - Look up vegan recipes on Pinterest. Cookie&Kate is my fave blog. OMG I'm so excited to hear this. I really hope it goes well. I hope Freelee gives you lots of advice.",1,0
Watch happyandhealthy96 on YouTube she is so happy and has so many good what I eat in a days with great ideas! (Especially eating cereal and soy milk!),1,0
Proud of you but if you don't stick to it its okay you are trying!! :),1,0
all you can do is try!!,1,0
Watch mommy tang she has turned me to soooo many vegan easy ass recipes,1,0
What about makeup and clothing products that arent animal friendly ??,1,0
she's full of shit!!,5,1
Omg!! U are gonna inspire so many of your viewers!! Awesome! vegan for 6 months now,1,0
And yesterdays vlog was trying Korean BBQ where she cooked raw meat,1,0
"Just realized that now she says ""hi"" to Zac Efron instead of Rick Morranis xd",1,0
"So glad u are trying it. Drinking huge smoothies in the morning really help my skin and weight. Put almond milk instead of yogurt. Try adding cinnamon and vanilla. If u crave something meaty target, and stater bros has the gardein brand. Try the mandarin orange chicken. also ralphs, albertsons and trader joes has a huge selection of vegan stuff. And whole foods and sprouts and are famous for being vegan friendly.",1,0
Don't starve.... Exercise more.,1,0
"tofurkey makes some great vegan products including vegan hot dogs and a vegan pizza which is so good. i always tell new vegans to eat exactly what they used to eat, just the vegan version. also, ben and jerry's makes a vegan ice cream that tastes just like the real thing! and gardein makes really good vegan chicken tenders, vegan meatballs, vegan crabcakes (my personal favorite), etc. hope this helps and good luck!",1,0
"Freelee's ""you can eat as much as u want"" isnt 100% accurate...maybe it is if you run a 10k everyday, amd do alot of excersise, but the foods u can really ""eat as much as u want"" of are like carrot sticks (minus hummus) or like apples or oranges, or grapes because those will fill u up fast, bc they have a lot of water, so u wont really have to eat that much to be full. Like the whole eating a ton of rice, or a whole box of pasta, or 10 pounds of potatos or 10 mangos is not really healthy, unless off course, u do a ton of high intensity excersise...",1,0
"Regarding your weight, you may notice some fluctuations in your weight because your metabolism will be changing. 2 weeks is a relatively short amount of time so I would encourage you to keep being vegan even after your music video to see how it affects your body. Also, regarding food, eat as many fruits and veggies as you want and if you are feeling, hungry make sure to eat more potatoes and beans. Nuts are also a very good source of protein if you're worried about being protein deficient. The worst thing you can do on a vegan lifestyle is starve yourself, so just make sure that you are always full from healthy food. Good luck!",1,0
"Awesome! Quinoa is good for you and has protein. Add chia seeds to EVERYTHING! They fill you up, have protein, fiber, omega 3's, anitoxidants. I add them to oatmeal for breakfast, add fruit and cinnamon. Chia seeds are hydroponic, so if you were to add them to a smoothie, drink, or nut milk - they expand, so they fill you up. I am excited for you, great job!",1,0
"You should try and eat nakd bars, they taste nice and are really healthy",1,0
raw till 4 is dying and youre just now going vegan because of freelee?,2,0
watch kalels videos shes been vegan for almost 3 years and she is very helpful with vegan foods and can help you get started your 2 week diet,1,0
"my favorite vegan recipe to make is veggie burritos- they're literally one of my favorite foods. you just sauteé onions, bell peppers, and mushrooms, roast some sweet potato (you can use regular potatoes but i like the extra sweetness) and corn, and cook up some rice. I like the make a huge batch of all of that and eat it throughout the week- you just pile all that onto a tortilla with some salsa and avocado and it's BOMB. kbye thanks eheheh",1,0
you should start as a vegetarian then work your way up to being a vegan.,1,0
You're missing carbs!,1,0
yes you can eat whatever u want but low fat,1,0
Love Trisha so much! Her hair/makeup is on point(as always)👸🏼💯💜,1,0
I'm soooo proud of you girl! The vegan corner also has super nice vegan recipes. Try to stick to high Carb low fat as much as you can but please don't stress yourself and enjoy the vegan treats when you want to. All the best to you love xxx,1,0
"Good for you girl!! Ignore all the 'vegan police' out there. The fact that you're even putting this out here as a decision is amazing! You can eat all the food you want...fruits, veggies, potatoes, rice, grains, beans, etc. don't calorie restrict yourself just eat until you're satisfied. And don't forget to treat yourself wth 'vegan 'junk food' sometimes! Love all your videos....I've been watching you for years and your videos always make my day! Love you and so proud you're giving veganism a shot!",1,0
She said for 2 weeks,2,0
Eat a lot of grains and potatoes with your vegetables and fruits <3 Good Luck!,1,0
"Hi trish! I haven't been vegan long, its been about half a year, but so far what has helped me is eating at least one really great starchy or carb filled meal a day like pasta, vegan pizza, or potatoes, something like that, it makes you feel so great and energized and won't send you into like a funk. Eat a variety! Beans, different colors of veg and fruit so you get all the nutrients you need, and that's how you actually feel great. Don't feel pressured to need to fit a vegan structure like raw or hclf in the beginning, it is easiest to just start by eating vegan foods that you like just so you don't feel as restricted in the beginning, especially for these 2 weeks. LA is so great for vegan foods, I live in China and it is way harder here :P Good luck!",1,0
"OMFG, this is so old!!",1,0
I am so so so proud of trish OMG this makes me so happy,1,0
"You can do this Trish! So happy for you and I love the ""I don't even know what's happening to me!"" We all know that feeling lol xo",1,0
Trish I will just say you won't see a difference in just two weeks. Your body will go through so much just by cutting out the types of food you like to eat. You can do it but I'd suggest longer than two weeks. I'll be honest it may do the opposite for you. I know I gained until my body was able to regulate. Just remember that. Also lots of water!!!!,1,0
"Try making noodle stir fry's, rice, pasta with tomato-based sauces and other carby things because to maintain a fully raw (all fruit and veggie) diet, you have to eat sooo much. To start off, you should try eating meals like the above to transition so it doesn't feel like a shock. If you go cold-turkey raw, I guarantee you won't stay vegan :)",1,0
Damn Trisha. Can you please slow down when you talk. I have to play back every time. Are you conscious when you do that?,1,0
Yess Trish yeess,1,0
Get some carbs in you potatoes are easy option!!! Seriously good for you trish,1,0
"Eat a truck load of potatoes, rice, pasta, and other filling foods with lots of carbs. Fruit and vegetables are great, but if you eat just that then you,l be hungry and wanna quit. We're proud of you and I wish you the best! Remember: potatoes, rice, pasta. All the time.",1,0
"GO AND FOLLOW MOMMY TANG, WATCH HER FOOD RECIPES :D",1,0
YaY I'm so exited !!!!!,1,0
"potatoes: mashed, fries in the oven, stuffed, etc. rice, beans, fruits, GREENS!!!!!! Greens are a must: spinach, brocoli, letuce, green beens. You can make green smoothies: strwaberry with bananas (frosen) and lots of spinach with a dash of almond milk, or soy milk, rice milk(of your choice) and a dash of whater. If you want a burger, you can try the brand: Boca vegan burgers. They are delicious. if you miss cheese you can try the brand:go veggie cheese its vegan. or rhe falafel balls (there like meat balls but vegan). you can use Smart Balance that is dairy free butter. You can make spring rolls with veggies, potatoes and some soy meat with a sauce. Allways fruits and veggies more than the rest. There is a loooot of vegan foods, just go to whole foods, costco, walmart and youll find a looot, and go to vegan restaurants try it.",1,0
OMG FUCK YES FINALLY,1,0
Vlog your day and what you eat,1,0
"Try chickpeas, green beans, lentils, tofu/tempeh 😝 you can still eat wheat or rice noodles/pasta.. Literally any food you normally would but don't add the animal products.. Not the healthiest maybe? That's what I do 😝 use random veg/spices/fruit to make curries or in soup/stir fry? X",1,0
"Hi Trish! I am vegan and I love tofu cooked in coconut oil, stir fried veggies with pineapple and teriyaki sauce, oatmeal, peanut butter and bananas, those high protein vegan cookies your mom gives you, sandwiches (check out ""Just Mayo"" it is a vegan mayonnaise and it's so good). Also lots of fruits, lots of veggies, plain potato chips, chips and salsa, chips and guac, vegan curry and try out ben & jerry's chunky monkey that is vegan, its soooooo good!! :) Lots of rice, potatoes, berries, fajitas, vega protein powder and smoothies.... MMMMM and some Cliff bars! Try the Silk creamer for your tea/coffee, it's so good. :) GOOD LUCK TRISH!!!! YOU ARE GOING TO FEEL AWESOME. Going vegan was the best thing I ever did for myself and the planet. Also, when you make it about the animals, it's easy to never ever ever go back to eating dairy, meat and eggs. :) Love you!! YOU CAN DO IT!!",1,0
"eat nuts gurl!! almonds, cashews, walnuts, macadamia nuts, etc. nuts are great protein and have amazing skin benefits. also eat dates, great for a raw food to add to any meal.",1,0
u can get starbucks stuff with soy or coconut milk instead of reg milk,1,0
"I really hope you stick with this because I've been considering going vegan for a few months now and it would be such an inspiration to be able to follow in your foot steps. :) Love you, Trish xx",1,0
What was the point of putting this up when its like month old video? And you obviously did not stick to being vegan???,2,0
Haha Trish with the sexual vegan thumbnail! Made me laugh 💖,1,0
"Watch Mommy Tang,she has awesome recipes for a vegan diet.",1,0
"YES GIRL! okay so go get some almond milk or cashew milk it's amazing, especially if your a coffee person! DO NOT eat as many calories as possible...if your trying to loose weight. I would try to eat and much raw fruits and veggies as possible! Breakfast food that's amazing is fruit of course, nature path cereal or any vegan healthy cereal with almond milk any type of vegan milk..OATMEAL with frozen fruit it's soo good. lunch and dinner ideas are veggies big salads quinoa salads, brown rice , patatoes!(sweet patato and Japanese patatoes are amazing ) I would suggest drinking ALOT of WATER and adding lemon is always amazing. Eat as much FRUIT and VEGGIES as you want. Stay away from PROSSCESSED bleached foods like white pasta and white bread. Try grains like quinoa, brown rice, couscous. Limit your FAT intake, don't put oil on everything, don't fry stuff. add goof fats into you diet like avacado and coconut or nuts but don't over due them! Dont overload on SALT but if you need salt try sea salt or pink Himalayan sea salt.",1,0
Notification squad where you at ❤️👻,1,0
You can do it trish I love you and support you,1,0
Yessssa!!! You go girl 👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽,1,0
"Good luck trying to go back to eating meat. I did that after I was vegan for 1yr and a half.... my stomach literally fucked me up. My stomach was so fucking sore. But now I'm vegan again, I eat banana's the majority of the day.... I eat toast (looove toast). I eat potatoes, rice pasta at night! Watch Mommytang, she has the best vegan recipes!",1,0
"trish i'm so proud that you're going vegan, as a vegan myself, (well i'm still transitioning) i would recommend eating alot because fruit and veggies have less calories than meat and dairy products, if you don't eat enough you're gonna get sick. + take b12 supplement, it's in meat and not in veggies and fruit, but you really really need it. (i would also recommend binge watching what i eat in a day vegan vids on yt) xx",1,0
Trish saying that she couldn't eat chicken after watching those horrible videos(why?) took me back to the time when I couldn't eat fried chicken for a month after watching the movie the loved ones the I got put off again after watch excision (shudder),1,0
"Am I the only one who actually hate freelee? I get that she is ""trying"" to make people vegans but the way she does it is just annoying. That bitch is nothing but a bully. And no I don't want to start an argument. I just hate the living shit out of her :/",2,0
"GARDEIN ""CHICKEN"" TENDERS!! I live off of them. they're so good with ketchup :)",1,0
"I've been vegan for about two years and I can tell you from experience that you will lose weight. If u eat lots of carbs ( like 2,500+ cals a day) and exercise at a moderate intensity for about an hour a day 6 days a week your metabolism will slowly speed up and ""heal"" so to speak from the damage you've done to it by under eating and binging. then u will experience weight loss and you'll start to fell so much better in your own body.",1,0
"watch more high carb low fat (hclf) ""what i eat in a days""!!!!!",1,0
"Rice and pasta! These will be more substantial and will keep you full. Chickpeas are great too. They can be eaten as bean, hummus, falafel etc.",1,0
"You know what, Trisha? This is the BEST thing I've heard this day. :) My tips for you: 1. Mainly eat fruits & vegetables, and aside of that additionally eat carb stuff like rice, bread, pasta, potatoes, etc. 2. Eat enough ! A human needs 2500 - 3000 calories/day. If you feel tired or develop cravings, it's because you eat not enough calories/day or not enough carbs. 3. Drink a lot of water. Best thing: When you wake up, start the day with drinking water, because you got dehydrated in the course of the night.",1,0
why are you going directly vegan? you should try being vegeterian and then slowly move into being vegan. you cant go from binge eating fast food to becoming vegan,1,0
"Yay! I mean you're not vegan if you don't plan to continue this lifestyle, but I'm happy to see you eating plant based!! Pasta, rice, beans, etc! The best sauce I've made is tomatoes, lemon, red bell pepper, one white onion, garlic powder, and red pepper flakes! SO GOOD! And all raw!!!",1,0
"Trish, I think guacamole is vegan. Guacamole & tortilla chips are my favorite snack in the world!",1,0
"Trish, I love you, I really do, but you and I and all your viewers know this will never stick. Yea you might last 3 or 5 days but once that intense hunger sets in and your craving dairy or meat...sigh...you go thru these phases and they never last. I do wish you the best tho. But we all know this will never last and once you make a video of you eating meat or whatever your gonna get all this hate. You do this stuff to yourself. I think if you wanna do something positive, just keep it to yourself, so when you fail you wont receive hate from the internet. Just trying to help. Big hugs ....",1,0
"I agree with you Trisha, Freelee would attract more people with positivity instead of negativity!",1,0
"You go girl, mega thumbs up on going vegan from here. Stick with it, you will love it! <3 <3 <3 As for Freelee, thumbs down, no excuse suffice when it comes to her recent behavior. There are plenty awesome kickass smaller vegan source youtubers out there! GOGOGO! My fav for simple easy yummy recipees/ideas of what to eat: High Carb Hannah, The Vegan Solution, Simply Quinoa, Cooking with plants. Remember you can basicly eat everything you used to, just veganise it. I eat homemade veggi burgers weekly, they are so awesome. Weight wise, the less processed you eat the better though. Most vegans disagree with you being able to eat unlimited, don't starve yourself by any means, but don't overeat or stuff yourself either. Best of luck :)",1,0
if you're going raw u need more fruit girl lol,1,0
GIRL on your snap u were just in temeccula cali eating chicken with sean lol,1,0
I have never loved anything you have said more! Good luck! You are going to do great!!!,1,0
YESSSSS SUBBED <333,1,0
Girl get you some beans and rice vegans can carb load um idk what else google like vegan recipes and u will find like a lot of good ones that are healthy for u and have all the stuff u need for nutrients,1,0
"smoothies, oatmeal, rice and veggies!! salad with balsamic dressing. all some of my favs.",1,0
Also please go watch the documentary Cowspiracy on netflix! It is really really eye opening + there is no gruesome livestock footage x,1,0
"Tricia, you mean plant-based because Vegans do not eat meat, fish, and dairy products BUT also they do not use animal products. So unless you plan not using your Balenciage bag and any other animal products I would definitely rename the video. Just a food for thought!",1,0
Slaughter house videos are the reason I've been vegetarian for 2 years,1,0
"Quinoa, beans, avocado, rice, potatoes, veggie burgers, wheat protein ""chik'n"" nuggets if you're craving, smoothies, almond milk! coconut sugar...the list goes on forever lol",1,0
Watch mommy tang,1,0
