comment,label
yeah right girli wont believe it til i see it,0
me and my kiddo became vegan in  so for us it is already the year that changes,0
niomi smart is vegan and she had some amazing meal ideas and is coming out with a new book called eat smart and she has some really good recipes on her channel just thought id mention her if u were stuck for ideas,0
can you hug the guy from  again from me i love him now i watched the whole film thank you all for creating such gold,0
this video actually proved that the wage gap doesnt exist,0
im mad watching this im a trans guy,0
they have male biological traits physically competing with female biological traits hormone therapy has to be completely administered or how long it takes before they can compete on a level playing field  these are males parading as females competing in female track events  how else would you say it  to hell with their feelings  it does not have physical traits ,1
no offense but trust is sexy and her thick sexy af body looks waaay better then yours again no offense but your ego is huge her bod is way hotter,1
absolutely excellent bravo to the filmakers bravo to vegans,0
can you do a makeup tutorial,0
ok real life question but i guess i need some help to understand cant you not be transgender if your a female wanting to be a female but a gay man at the same time isnt that the most like  level of offense like you cannot be trans if you are already the gender you want to be its one thing if she would like to be a man i feel like we would all be supportive but now im so confused like she wants to be transgender as a man but a woman can someone please help me understand honestly i do not want to offend or even judge her i just dont get it,0
so more women should enter science and tech cool why arent they and why do they expect the business fields to change working hours for womens needs instead of planning ahead for children and choosing your field accordingly,0
get out of the race you dont belong there soo unfair so so unfair where is their conscience,1
maybejust maybe its not a bad thing that women take on more infant raising responsibilitymind blown i knowand maybejust maybemen are more productive than woman in the workplace on averagemind blown again i knoweven if there was a wage gap itd be womens own fault,0
lets play a game called shes not going to last,0
holy background noise batman,0
meat industry  death industry they slaughter beautiful innocent creatures,0
vlog your day and what you eat,0
so if i put a boy in the girls track team you wouldnt expect this,0
taco bell vegan guuuurll p,0
if anything her description sounds like she may be demigender but also lay off the fetishization of gay men sis,0
this world has gone batshit crazy milky vanilli has no business running against these females,1
i think freelee stole your memory card and will be using it on her channel as her own footage hahaha,0
what happend with your instagram i cant find it,0
think this vid misses a huge aspect of the gender pay gap  little girls are taught to dress in pink and love unicorns and princessesthen they grow up and are expected to have babies stem subjects arent sexy  no wonder they dont choose them the issue with the pay gap is not just a  of money difference  its a cultural difference and stems from how we raise our girls versus boys,0
yessss trish you go girl  im so excited for this d,0
i really want someone to see this comment believe it or not the wage gap still exists just not at  cents per dollar after all of those things are taken into consideration there is still a sizable gap of about  cents for every dollar a man makes due to prejudice,0
so the case is that the entire concept of a gender wagegap was established from a misinterpretation of a statistic regaring average salary of men and women and some people came to the conclusion that this difference in average salary must be because of discrimination when its really because of differences between how males and females thinkchoose men on average tend to go for the higherpaying jobs and work longer very interesting,0
afinal quem  a alma santa que legenda esses videos   valeu cara ,0
makes me want a big ribeye,0
naomi if you see this comment then i want you to know that i am always right therefore i wasnt wrong about wage gap,0
transgender female to man gay drag queen fucking genius,0
as a  year old trans man myself i couldnt even make it through the video i felt so hurt and invalidated the pain of dysphoria and knowing my family is secretly annoyed and angry that im bi and trans it sucks trisha is so privileged and doing this just for coin and its gross she needs to stay away and stop fetching minorities,0
you like chicken to much and your fast food,0
next on trisha paytas  shes comes out as a toaster,0
awww that bit where the guy hugged chris packham i welled up he just got it he switched his light off ,0
thaaaaaaaank yoooooouuuuuuu for making this video,0
please freelee go check his account hes using animal for his filthy art ,0
perhaps you should stop calling it a wage gap and call it an earnings gap and realise that its not a problem that requires fixing if theres a hole in a bucket by all means please fix it if theres a hole in a donut trying to fix it will only destroy it,0
