comment,label,label_class
her thumbnail looks like vegan porn,2,NOT
her hair is great the layers oh ma gad also im really proud of her i wish i could do the same its quite difficult for me,1,NOT
how old is this video cause i know you been eatin some bacon girl lol,2,NOT
if shes going full vegan she knows she cant use any products that are tested on animals or use anything thats leather,1,NOT
some of my fave vegan foods yummy fruit veggies tomatoes peppers mushrooms spinach etc so many potatoes tortilla chips and dip salsa guac hummus etc smoothies and omg there is so much more that is just what i eat when i dont have a ton of time watch vegan recipes there are so many tasty easy things ily trish,1,NOT
please do not just eat a ridiculous amount go calories a day even if it is from vegan food eat enough and dont starve yourself you dont have to be scared of carbs but dont eat  bananas like freelee because thats insane do not believe any of that pseudoscience bullshit,1,NOT
my fave vegan foods fries for protien bbq tofu chia seeds,1,NOT
check out hotforfood if you want some less healthy vegan recipes gardein chicken tenders are amazing honestly i dont even notice that theyre vegan not the healthiest thing ever but yknow gotta have those cheat meals sometimes as for everyday things i personally always keep rice beans and frozen veggies around for quick and easy meals make sure you arent letting yourself getting super hungry thats when youll end up craving and binging on foods that arent as good for you congrats trish hopefully this will be the start to some great changes for your health,1,NOT
next to delicious fruits you can eat lots of vegetables cucumber salad tomato bell peppers courgette zuchini spinach carrots peanut butter yum a lot of nuts pine nuts pumpkin seeds wallnuts lots of seeds chia flax hemp next to that you also have to eat lots of carbs like potatoes rice quinoa there are a lot of foods and variety that you can eat ,1,NOT
i gave up dairy and still have acne my acne is mostly hormonal but ive known peoples skin to clear up completely ,1,NOT
lowkey waiting for freelee to make a vid,1,NOT
freelee is probably making a video applauding you right now,1,NOT
i recommend raw cold pressed hemp seed oil it has  amino acids and iron i pour a tablespoon of it on my rice mash potatoes and i mix it with vegan cream cheese toffuti the tofurky chorizo style meatless vegan mince meat tastes fricken awesome too ,1,NOT
earth balance mac and cheese and gardein beetles patties,1,NOT
trisha to get protein you can eat lots of protein shakes and also have lots of beans  fish  if you choose to eat fish  broccoli ,1,NOT
you cannot eat too much on a vegan diet listen to your body eat when youre hungry,1,NOT
something that made me go vegetarian was that you are literally eating a corpse it just grosses me out i wouldnt eat a human corpse so why an animal corpse,1,NOT
you and discipline are like oil and wateryou wont last a day i am sure,2,NOT
do vegans hate asians they eat meat therefore theyre evil,5,ABU
rice bean nuts seeds grains pasta veggies fruit etc smoothies for breakfast are so good  you can still have pizza just no cheese trisha eat till youre full you can still have a latt just ask for soya or coconut milk if you want to lose weight you cant eat too much you can put weight on eating a vegan diet trust me i did any questions just message me love u girl,1,NOT
yes trish this is exactly what you need for a healthy body and mind you really need to stick with it to get great results but in the end it is worth it  make sure youre eating until youre completely satisfied and full so proud of you trish this is a great step in the right direction ,1,NOT
trishaaaaaaaaaaaaaaaaaa your fucking influence could change so many lives   eat the melon alone for reasons i dont remember its better to eat melon by itself   vegan restaurants in la are caaaaaarrrazzzy as i am sure you know dont restrict yourself   look up vegan recipes on pinterest cookiekate is my fave blog omg im so excited to hear this i really hope it goes well i hope freelee gives you lots of advice,1,NOT
watch happyandhealthy on youtube she is so happy and has so many good what i eat in a days with great ideas especially eating cereal and soy milk,1,NOT
proud of you but if you dont stick to it its okay you are trying ,1,NOT
all you can do is try,1,NOT
watch mommy tang she has turned me to soooo many vegan easy ass recipes,1,NOT
what about makeup and clothing products that arent animal friendly ,1,NOT
shes full of shit,5,ABU
omg u are gonna inspire so many of your viewers awesome vegan for  months now,1,NOT
and yesterdays vlog was trying korean bbq where she cooked raw meat,1,NOT
just realized that now she says hi to zac efron instead of rick morranis xd,1,NOT
so glad u are trying it drinking huge smoothies in the morning really help my skin and weight put almond milk instead of yogurt try adding cinnamon and vanilla if u crave something meaty target and stater bros has the gardein brand try the mandarin orange chicken also ralphs albertsons and trader joes has a huge selection of vegan stuff and whole foods and sprouts and are famous for being vegan friendly,1,NOT
dont starve exercise more,1,NOT
tofurkey makes some great vegan products including vegan hot dogs and a vegan pizza which is so good i always tell new vegans to eat exactly what they used to eat just the vegan version also ben and jerrys makes a vegan ice cream that tastes just like the real thing and gardein makes really good vegan chicken tenders vegan meatballs vegan crabcakes my personal favorite etc hope this helps and good luck,1,NOT
freelees you can eat as much as u want isnt  accuratemaybe it is if you run a k everyday amd do alot of excersise but the foods u can really eat as much as u want of are like carrot sticks minus hummus or like apples or oranges or grapes because those will fill u up fast bc they have a lot of water so u wont really have to eat that much to be full like the whole eating a ton of rice or a whole box of pasta or  pounds of potatos or  mangos is not really healthy unless off course u do a ton of high intensity excersise,1,NOT
regarding your weight you may notice some fluctuations in your weight because your metabolism will be changing  weeks is a relatively short amount of time so i would encourage you to keep being vegan even after your music video to see how it affects your body also regarding food eat as many fruits and veggies as you want and if you are feeling hungry make sure to eat more potatoes and beans nuts are also a very good source of protein if youre worried about being protein deficient the worst thing you can do on a vegan lifestyle is starve yourself so just make sure that you are always full from healthy food good luck,1,NOT
awesome quinoa is good for you and has protein add chia seeds to everything they fill you up have protein fiber omega s anitoxidants i add them to oatmeal for breakfast add fruit and cinnamon chia seeds are hydroponic so if you were to add them to a smoothie drink or nut milk  they expand so they fill you up i am excited for you great job,1,NOT
you should try and eat nakd bars they taste nice and are really healthy,1,NOT
raw till  is dying and youre just now going vegan because of freelee,2,NOT
watch kalels videos shes been vegan for almost  years and she is very helpful with vegan foods and can help you get started your  week diet,1,NOT
my favorite vegan recipe to make is veggie burritos theyre literally one of my favorite foods you just saute onions bell peppers and mushrooms roast some sweet potato you can use regular potatoes but i like the extra sweetness and corn and cook up some rice i like the make a huge batch of all of that and eat it throughout the week you just pile all that onto a tortilla with some salsa and avocado and its bomb kbye thanks eheheh,1,NOT
you should start as a vegetarian then work your way up to being a vegan,1,NOT
youre missing carbs,1,NOT
yes you can eat whatever u want but low fat,1,NOT
love trisha so much her hairmakeup is on pointas always,1,NOT
im soooo proud of you girl the vegan corner also has super nice vegan recipes try to stick to high carb low fat as much as you can but please dont stress yourself and enjoy the vegan treats when you want to all the best to you love xxx,1,NOT
good for you girl ignore all the vegan police out there the fact that youre even putting this out here as a decision is amazing you can eat all the food you wantfruits veggies potatoes rice grains beans etc dont calorie restrict yourself just eat until youre satisfied and dont forget to treat yourself wth vegan junk food sometimes love all your videosive been watching you for years and your videos always make my day love you and so proud youre giving veganism a shot,1,NOT
she said for  weeks,2,NOT
eat a lot of grains and potatoes with your vegetables and fruits  good luck,1,NOT
hi trish i havent been vegan long its been about half a year but so far what has helped me is eating at least one really great starchy or carb filled meal a day like pasta vegan pizza or potatoes something like that it makes you feel so great and energized and wont send you into like a funk eat a variety beans different colors of veg and fruit so you get all the nutrients you need and thats how you actually feel great dont feel pressured to need to fit a vegan structure like raw or hclf in the beginning it is easiest to just start by eating vegan foods that you like just so you dont feel as restricted in the beginning especially for these  weeks la is so great for vegan foods i live in china and it is way harder here p good luck,1,NOT
omfg this is so old,1,NOT
i am so so so proud of trish omg this makes me so happy,1,NOT
you can do this trish so happy for you and i love the i dont even know whats happening to me we all know that feeling lol xo,1,NOT
trish i will just say you wont see a difference in just two weeks your body will go through so much just by cutting out the types of food you like to eat you can do it but id suggest longer than two weeks ill be honest it may do the opposite for you i know i gained until my body was able to regulate just remember that also lots of water,1,NOT
try making noodle stir frys rice pasta with tomatobased sauces and other carby things because to maintain a fully raw all fruit and veggie diet you have to eat sooo much to start off you should try eating meals like the above to transition so it doesnt feel like a shock if you go coldturkey raw i guarantee you wont stay vegan ,1,NOT
damn trisha can you please slow down when you talk i have to play back every time are you conscious when you do that,1,NOT
yess trish yeess,1,NOT
get some carbs in you potatoes are easy option seriously good for you trish,1,NOT
eat a truck load of potatoes rice pasta and other filling foods with lots of carbs fruit and vegetables are great but if you eat just that then youl be hungry and wanna quit were proud of you and i wish you the best remember potatoes rice pasta all the time,1,NOT
go and follow mommy tang watch her food recipes d,1,NOT
yay im so exited ,1,NOT
potatoes mashed fries in the oven stuffed etc rice beans fruits greens greens are a must spinach brocoli letuce green beens you can make green smoothies strwaberry with bananas frosen and lots of spinach with a dash of almond milk or soy milk rice milkof your choice and a dash of whater if you want a burger you can try the brand boca vegan burgers they are delicious if you miss cheese you can try the brandgo veggie cheese its vegan or rhe falafel balls there like meat balls but vegan you can use smart balance that is dairy free butter you can make spring rolls with veggies potatoes and some soy meat with a sauce allways fruits and veggies more than the rest there is a loooot of vegan foods just go to whole foods costco walmart and youll find a looot and go to vegan restaurants try it,1,NOT
omg fuck yes finally,1,NOT
vlog your day and what you eat,1,NOT
try chickpeas green beans lentils tofutempeh  you can still eat wheat or rice noodlespasta literally any food you normally would but dont add the animal products not the healthiest maybe thats what i do  use random vegspicesfruit to make curries or in soupstir fry x,1,NOT
hi trish i am vegan and i love tofu cooked in coconut oil stir fried veggies with pineapple and teriyaki sauce oatmeal peanut butter and bananas those high protein vegan cookies your mom gives you sandwiches check out just mayo it is a vegan mayonnaise and its so good also lots of fruits lots of veggies plain potato chips chips and salsa chips and guac vegan curry and try out ben  jerrys chunky monkey that is vegan its soooooo good  lots of rice potatoes berries fajitas vega protein powder and smoothies mmmmm and some cliff bars try the silk creamer for your teacoffee its so good  good luck trish you are going to feel awesome going vegan was the best thing i ever did for myself and the planet also when you make it about the animals its easy to never ever ever go back to eating dairy meat and eggs  love you you can do it,1,NOT
eat nuts gurl almonds cashews walnuts macadamia nuts etc nuts are great protein and have amazing skin benefits also eat dates great for a raw food to add to any meal,1,NOT
u can get starbucks stuff with soy or coconut milk instead of reg milk,1,NOT
i really hope you stick with this because ive been considering going vegan for a few months now and it would be such an inspiration to be able to follow in your foot steps  love you trish xx,1,NOT
what was the point of putting this up when its like month old video and you obviously did not stick to being vegan,2,NOT
haha trish with the sexual vegan thumbnail made me laugh ,1,NOT
watch mommy tangshe has awesome recipes for a vegan diet,1,NOT
yes girl okay so go get some almond milk or cashew milk its amazing especially if your a coffee person do not eat as many calories as possibleif your trying to loose weight i would try to eat and much raw fruits and veggies as possible breakfast food thats amazing is fruit of course nature path cereal or any vegan healthy cereal with almond milk any type of vegan milkoatmeal with frozen fruit its soo good lunch and dinner ideas are veggies big salads quinoa salads brown rice  patatoessweet patato and japanese patatoes are amazing  i would suggest drinking alot of water and adding lemon is always amazing eat as much fruit and veggies as you want stay away from prosscessed bleached foods like white pasta and white bread try grains like quinoa brown rice couscous limit your fat intake dont put oil on everything dont fry stuff add goof fats into you diet like avacado and coconut or nuts but dont over due them dont overload on salt but if you need salt try sea salt or pink himalayan sea salt,1,NOT
notification squad where you at ,1,NOT
you can do it trish i love you and support you,1,NOT
yessssa you go girl ,1,NOT
