tweet,label
 she should ask a few native americans what their take on this is,1
  go home youre drunk  maga trump  url,1
amazon is investigating chinese employees who are selling internal data to thirdparty sellers looking for an edge in the competitive marketplace url amazon maga kag china tcot,0
 someone shouldvetaken this piece of shit to a volcano ,1
  obama wanted liberals amp illegals to move into red states,0
 liberals are all kookoo ,1
  oh noes tough shit,1
 was literally just talking about this lol all mass shootings like that have been set ups its propaganda used to divide us on major issues like gun control and terrorism,1
 buy more icecream,0
 canada doesnt need another cuck we already have enough looneyleft liberals fking up our great country qproofs trudeaumustgo,1
   its not my fault you support gun control,0
 whats the difference between kavanaugh and    one of these men admitted to groping a  year old girl years ago  the other is going to be confirmed to the scj   demsarefrauds demsaredone   walkawaydemocrats redwave voteredsaveamerica trumptrain maga url,0
 you are a lying corrupt traitor nobody wants to hear anymore of your lies deepstatecorruption url,1
   it should scare every american  she is playing hockey with a warped puck,0
                                                  i like my soda like i like my boarders with a lot of ice,0
 you are also the king of taste,0
maga    sing like no one is listening   love like youve never been hurt   vote gop when no one is watching    and dont listen to liberals dirt url,0
  the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason guncontrol cdnpoli cdnhist,0
 besides jaxs mom and maybe ope he is hands down my favorite hes like the only good person on the show ,0
   gun control that is all these kids are asking for,1
    lol   throwing the bullshit flag on such nonsense  putuporshutup   kavanaugh   maga   callthevotealready url,1
  you are correct,0
  kind of like when conservatives wanna associate everyone to their left as communist antifa members,1
  da fuck is going on people   theres the mens room and the womens room  pick one and stick w it ,1
 been a willie fan since before most of you were bornlove that he is holding a rally with beto exactly which fans are furious  could you give some specifics url,0
 tbh these days i just dont like people in general i just dont connect with people these days just a annoyance,1
south korean official leaders will discuss specific denuke measures in pyongyang  url tcot maga rednationrising,0
  you can tell he is a hooper too,0
 i feel like he is better chasing the title,0
   she  to whom are you referring to  hillary  you know what is tiresome  bernie supporters bashing hillary clinton  she is an actual democrat who raises money for the democratic party and doesnt bash them  she has a positive message  so who is dividing the left,1
 glad to see your friends are supporting metis rights as much as you are supporting zionists url,0
 yes you are but i was asking what is it about the movie ,0
the only thing the democrats have is lying and stalling to stop trump from being president  what have they done for you lately trump kavanaugh maga demsuck,1
 no wonder he is being apologetic and more social these day,0
   any updates re ending your blatant racism as windrush amp grenfell proves you are    alloutpolitics politicslive pmqs  url,0
           do you know whats going to happen now  im going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech antifa,0
